full_text,kelas
@BeriArdianto1 @aloyss787 @talangijoo Before 7 Oct hamas jihad islam PLO PFLP etc berkali-kali serang Israel. Hal wajar karena mereka dlm status *perang/bermusuhan* Namun aksi hamas Oct7 itu terlalu lewati batas yg bisa diterima Israel. Bukan hanya serangan biasa namun aksi kriminal biadab. Murkalah Israel !,Negatif
@papa_loren Biadab Sgt Keji emang.uang umat yg berthn2 mrk kumplkn dr hsil jerh pyah'y bkrja lalu di tbng dgn tujuan untk menjlnkan rukn islam yg ke 5 itupn hrs tunggu antrian lg yg lma Klu smp dug'an ini terbukti uang untk ursn ibdah msh di embat d maling. Ini Rezim udh bnerÂ² rusak akut,Negatif
@Setiabumi1 @talangijoo Istilah teroris itu hanya berlaku utk Amerika dan sekutunya.israil yg banci dan biadab bunuh orang tua dan anak anak yg teroris sejati.sama hansip Hamas ngak menang menang padahal senjata perang paling modern vs iman Islam didada terbunuh mati syahid,Positif
@basaillive @ProfOnline_id Jgn dikasih hati kaum minoritas dikampung kt yg mayoritas islam dia itu manusia biadab takutnya anjing banyak hilang dipetkampungan kt buat jd kebun,Negatif
@Boediantar4 JELAS KAMI RIBUTKAN KARENA PENIPU LEBIH BIADAB DARI MALING APALAGI YG DITIPU MANUSIA YG PALING DI AGUNGKAN UMAT ISLAM SEDUNIA DGN ME-NGAKU NGAKU CUCUNYA.,Positif
@SUSUKECOAKLIAR @talangijoo Byk yg benci Islam krn kelakuan biadab umatnya,Negatif
@geloraco Kalau orang Islam yg boikot Israel keknya gak bakal bangkrut tapi Produk Israel diboikot berbagai macam agama Ras Dan kebangsaan atas perbuatan biadab mereka.,Positif
@IndramanR63670 @Dedy44169434 @talangijoo org2 islam penyembah pedopil ngembat menantu sndri dipuja puja smpai dianggap manusia sempurna aslinya bejad laknat akhirnya mati diracun budak perempuan yg suaminya dibunuh junjugan manusia biadab.,Negatif
Gerakan Perlawanan Islam Palestina (Hamas) melontarkan kecaman keras terhadap kejahatan biadab rezim zionis yang didukung penuh oleh rezim Amerika.,Positif
Ini bukan sekedar islam.. ini udah pembunuhan pembantaian sipil.anak2 gak tau apa2. Dibom dibumi hangus kan..biadab kamu kalagondang!,Negatif
@talangijoo Islam itu bersih dari kelakuan biadab cuma gambar tutup besi bisa lu bikin narasi itulah yg dinamakan Dajjal si perusak ada yg percaya ada dengan cerita lu ? Ada pengikut dajjal itu sendiri,Negatif
@talangijoo Duhai kaum babi sadarlah yahudi musuh yg nyata bagimu btapa biadab dia membunuh yesus membom grezaa2 mu meludahi saudara2 mu yg ziarah ke Yerusalem wahai kaum babi bangun lah dr tidur panjangmu Mari bersama islam boikot zionis israhell ,Negatif
@aesculapiusw Hanya di Indonesia mayoritas Islam di tengah kemerdekaan bisa terjadi pembantaian umat mayoritas scara membabi buta dan biadab anak kecil dan wanita juga jadi sasaran. Anak kecil jdi korban pembantaian laskar Kristus biadab dan bengis. Pentolan nya masih duduk dijabatan tinggi RI https://t.co/lDZLUMFko9,Negatif
Arab Saudi pengkhianat perjuangan Islam menghancurkan rezim biadab Zionis Israel. #FreePalestineðŸ‡¯ðŸ‡´,Negatif
@ZERO48705828 @udaytokay Kalau Milkul Yamin mu ini dapat pahala kalau bisa mempraktekkannya kpd non Islam ya?? Agar mrk gentar jadi non Islam lalu mualaf??? Biadab. https://t.co/9ospSs09Lk,Negatif
@tweetDeecoRen Bagian mana yg salah?? Khalal bagi klean untuk memperbudak dan ngewe tahanan non Islam/kafir. Ajaran biadab. Pantesan buanyak bgt terorisnya. https://t.co/Ajd5ZIW0tR,Negatif
fuck tu pun mencarut dik. kalau duluÂ² dah kena sepak dah pasal biadab sangat. mak pak tak ajaq ka? p.s. tolong bentang audit banjir. orang islam kena jujur kan? #adab&gt;skills,Negatif
Sbg Muslim tnp in pun sy meyakini tdk adanya kejadian sperti it. Mski org yg beragama Islam ad jg yg biadab tp org yg sdh sampe pd tahap berani Jihad tdk mgkin serendah it.,Positif
@alden93050 @talangijoo Lo pasti bukan bagian dari Islam. Mknya g punya Ilmu dan komentar. Itu BIADAB. Dalam Islam semua aspek kehidupan termasuk perkawinan yg di dalamnya ada persoalan sex diatur menggunakan Ilmu. Menggunakan ilmu Fiqih. Bukan asal bacot.... https://t.co/P21I8pju6v,Positif
@ed93510580 @talangijoo Kl bukan Islam g usah komentar. Itu BIADAB Karena ga punya ilmu. Dalam Islam semua aspek kehidupan diatur dg ilmu. Termasuk dalam kaitannya dg perkawinan persoalan sex ( termasuk pendidikan sex) ada ilmu Fiqih yg mengatur tidak sembarangan. Majalah playboy MATA LO BENGKAK https://t.co/XLpfZyOAAX,Positif
@Si_Meengg Yg paling berasa banget tapi tak tampak adalah islam = intoleran ini biadab banget kasus terbaru di solo ada festival gatau siapa tau2 viral udah tuh serbuan kalo muslim intoleran bandingkan dng tuntutan bali wisata halal lagi2 intoleran pdhl ini kasus yg sama..,Negatif
@sserenly mjb kak kalo di islam orang yg biadab bgt tingkahnya emg dibiarin hidup lama sampe kiamat biar bisa lihat dan ngerasain lgsg seremnya kiamat itu yg selalu aku denger dr kecil,Positif
@Siswotomo187571 Ternyata Indonesia ga butuh Zionis cuma butuh ngerusak Islam aja,Negatif
Zionist Israel biadab...!!! Indonesia Rawan pendukung zionist mereka berpakaian dan bicara selayaknya Islam tapi misi mereka memecah belah ummat Islam dgn perkataan mereka.,Positif
ya allah ini udh biadab bngt kalo hukum islam mereka udh kena rajam sampe mati hitungan nya zina muhsan. @sosoo9z ka semoga setelah ini banyak kebahagiaan yg hadir di dalam hidup kamu ya tenang ka kalo mereka lolos di dunia balasan nya di akhirat,Positif
@talangijoo Dan lucunya kalian para non Islam penghujat Islam. Kalian marah atas perbuatan biadab muslim Suriah diatas tapi dilain sisi kalian mengejek Allahnya umat Islam yg dianggap kejam krn menyiksa hambaNya yg berdosa di neraka. ,Negatif
@raja_jumpalitan @tepig_pignite Baca juga mrk keberatan atas diselenggarakannya festival. Ga sekalian aja keberatan kalau ada non Islam bisa ibadah di kota mrk??? Makan dilarang ibadah dilarang.... Ckckckc. Biadab bgt uclim.,Negatif
Sebelum adanya orang orang islam biadab ini masuk Eropa. Tingkat kekerasan sangat rendah bahkan ruangan penjara di Belanda kosong. Pak hakim &amp; pak jaksa &amp; pak pulisi juga pun pada nganggur. Begitu orang orang islam bangsat ini masuk Eropa. Tingkat kejahatan meningkat pesat.,Negatif
Juga bisa di-simpulkan sbagai pelajaran keseharian bagi semua orang.. mengekploitasi manusia untuk secara masal melestarikan kedunguan dan kebencian dengan mengajak ikutan membenci manusia lain atau untuk berbuat jahat biadab.. Agama Islam Indonesia https://t.co/Kh0yftWkz1,Negatif
@Salwan_Momika1 Umat biadab ngemis suaka di negara kafir lari dari negara yg menggunakan syariat Islam sebagai hukum malah bikin kacau di negara orang dasar biadab kalian @Froyo64 @stafsuscolonial @catz_nada2 @MuslihImap63 @Capuchihome,Negatif
@ProfOnline_id Makanya kau belajar sejarah jng asik pamer peler aja. Abad ke 7 spanyol mayoritas islam. Negara yg makmur dan terbuka utk siapa sj. Kristen sbgai imigran datang dan beranak pinak. Thn 1492 kristen membantai semua org yg tdk ikut agama biadab tsbt. https://t.co/UgNxGXccKt.,Positif
@stafsuscolonial @Greschinove @Kappa_2023 @__anomali__ @Juragann_muda2 @ajegilelu1 @Marnischaniago2 @catz_nada2 @MuslihImap63 @PramudiaRe71883 @AnakBalang_0705 @hlh_kntl @Froyo64 @JokoPintar2 @Capuchihome @johnhomebapa @imamDouma @anu318725175311 @fmn99_gaming @alfatih212426 @HabanglaliK @ridho45916919 @FruitLover2345 @Bad_Follow_SHIA @eeh_ito @b_a_p_a_k_k_u @Markk12_29 @Uncle__Holland @JhontalJk @antikadrunmuna @ricardo_bobby @anarchyhumanist @KatzNada3 @abu_hurahura @dimas2_P @Valhallaah @dimas1286478285 @Karsono12732862 @PekanbaruRyu Yaelaaahhh lonte berjilbab Widia ini tolol ya gak nyambung temen biadab elu bilang cuma Islam KTP yg homo berarti Mardani Ali Sera Islam KTP ya padahal dia rajin sholat 5 waktu puasa gak pernah bolong masih dibilang Islam KTP nah elu lonte berjilbab Widia tiba2 komen goblok,Negatif
@incognito_grey @ajegilelu1 @Marnischaniago2 @catz_nada2 @MuslihImap63 @stafsuscolonial @PramudiaRe71883 @AnakBalang_0705 @hlh_kntl @Froyo64 @JokoPintar2 @Juragann_muda2 @Capuchihome @Greschinove @johnhomebapa @imamDouma @anu318725175311 @fmn99_gaming @__anomali__ @Kappa_2023 @alfatih212426 @HabanglaliK @FruitLover2345 @Bad_Follow_SHIA @eeh_ito @b_a_p_a_k_k_u @Markk12_29 @Uncle__Holland @JhontalJk @antikadrunmuna @ricardo_bobby @anarchyhumanist @KatzNada3 @abu_hurahura @dimas2_P @Valhallaah @dimas1286478285 @Karsono12732862 @PekanbaruRyu Goblok loe @incognito_grey Kalau cuma tulisan tapi gak tau akar permasalahan konflik utk apa loe tampilkan realitasnya umat islam yg banyak jadi korban. Di india &amp; palestina umat islam justru banyak jadi korban &amp; juga ditempat lainnya. Memang BIADAB otakloe @incognito_grey,Negatif
@abdulah_ibnkalb @Ekososbudhamkam @LoudMinorities mereka juga bunuh orang islam perkosa orang islam. pointnya berarti bukan masalah agama. emang organisasinya aja biadab,Negatif
@alfatih212426 Yg harus kita serang itu muslim munafik yg sok toleransi dgn zipes laknat pembela Israel jika saja tak ada muslim munafik yg sok tolerin dgn zipes laknat tentu kita tak akan liat kalimat2 biadab dari zipes laknat yg menghujat Islam dgn kebencian yg mendalam.sadarlah hai munafik.,Negatif
@Tita83079013 @YaqutCQoumas cuma yang menyimpang dari ajaran islam aj Ta...biasa aj Ta koq ngeri....ngeri mah korban kebiadaban NaziIsrael Ta...biadab banget...bayi2 Palestina di bomin....emang pengecut NaziIsrael itu....,Negatif
@tjshinchang @SamMono74835 @talangijoo Gue lagi bahas nabi gue doy bukan masalah pengurus pesantren yang biadab mnzinahi anak orang berkedok nikah padahl tnp restu bapaknya si anak it pernikahannya tak sah dalam islam,Negatif
Kita Umat Islam itu mencintai para Nabi-Nabi yang Allah utus untuk bani israel juga karena mereka kita anggap saudara sesama muslim juga kita benci yahudi dan zionis biadab yang bunuh orang-orang beriman(Islam) palestina,Positif
@ery_putra22 @AsbabulKopi Kalau Lo bukan bagian dari Islam g usah bikin fitnah. BIADAB itu.... https://t.co/NiZeesfZbV,Negatif
Bukan hanya Islam yang dibunuh oleh Israel biadab org Kristen juga dihinakan diludahi oleh para biadab tsb.,Positif
BIADAB KEJAHATAN OLEH PENGASUH ATAU PIMPINAN PONPES HARUS DIKASIH HUKUMAN DUA KALI LIPAT DARIPADA HUKUMAN BIASA KARNA DIA TIDAK HANYA MERUSAK DIRINYA ISLAM &amp; PONPES JUGA IKUT DIRUSAK. @nu_online @nahdlatululama @DivHumas_Polri,Negatif
@_deedejavu_ Vankeazzu biadab israel laknatullah go to hell.. Setan.. Pemimpin islam buta mata hatinya dsr vanke,Negatif
@Narasi_winda Umat Islam itu memang biadab mereka harus di basmikan krna bukan manusia tpi binatang.,Negatif
@James7506293988 @Mundiwangi4 Km kgn sok baik jd manusia kafur pengkutmulah yg sering mengimentarin agama islam tulihat di Twiter nama kunnya Talang ijoo kiea2 bgs yg diisharenya ngaku punya agama yg plg toleransi gak tahunya poengikut agamammu yg lbh biadab sm islam,Negatif
@LeeAn21_ @bibforsure @tanyarlfes 1. Mereka rasis ke China (anggapannya komunis miskin biadab) dan Jepang (penjajah jahat biadab) atau Taiwan (ga komunis sih tpi kan dinastinya dlu dri China) 2. Asean : negara dunia 3 diktator ga jelas. Malaysia brunei indonesia : islam lagi Plingan gtu,Positif
@fernando090993 @donkohoandeto @Mundiwangi4 Pertama itu beda Islam Dan Kristen Kristen mengampuni yg menyakiti Islam membunuh yg menyakiti ga heran banyak jadi teroris. Ke Dua menikah dg anak 9 tahun kalo skrg Masih kelas 3 SD Itu sgt biadab apapun alasannya. Pernah lihat anak kelas 3 SD??,Negatif
@Tita83079013 Itu yg Lo lakukan tiap hari bisa baca tapi PEKOK nggak BISA MEMAHAMI makanya tiap hari MENEBAR FITNAH. Setiap ada tulisan tentang hal2 Islam yg dianggap bertentangan diposting Biar heboh. BIADAB. Percayalah PASTI' JATUH KARENA ULAH SENDIRI,Negatif
@SitambunT @Tita83079013 Lo pasti bukan Islam sama dg yg posting tidak paham tentang Hukum Islam komentar tentang hukum musik dalam Islam dan salah ... BIADAB Sekali. Apalagi menebar kebencian dg menggunakan kata ASU . DITUNGGU FITNAH BERIKUTNYA,Negatif
@langitan99 Inilah yg diinginkan oleh kaum Islam phobia bangsa Indonesia yg biadab seperti israel saling kriminal dan saling membunuh makannya Anies dikalahkan pilpres 2024 kalau wni sudah habis warga Singapore yg tempati indonesia,Negatif
@Valhallaah Umat beragama lain itu melihat Islam dari pemeluknya. Jika pemeluknya banyak yg keliatan biadab berarti agamanya jg demikian begitu pula sebaliknya. Intinya baik2lah dlm berdharma bermasyarakat dan sering2 berbuat baik. Tanpa melihat perspektif doktrin dogma,Positif
Umat Islam itu kalo kompak (lebih mantap dibantu Nonis yg nasionalis) rezim biadab di Wakanda pun bisa tumbang. Nih bukti ! Cukup satu ormas Islam BSI langsung kelimpungan. Apalagi semua kosongkan rekening dan beralih transaksi tunai kolaps tuh rezim! https://t.co/7YbPEyXa5Z,Positif
@Narasi_winda Imigran2 biadab di mana mereka berada slalu bikin onar umat Islam memang identik dgn kekerasan dan terorisme. Manusia2 biadab.,Negatif
ngga ada ustadz yang biadab...setan...pembenci islam luuuh...,Positif
@heibby124329 @Lentos552741 @AsbabulKopi Kalau Lo pengen tahu ceritanya Lo nungging terus arahkan pandangan ke depan rasakan pelan2 dari lubang dekat pntat muncul sepertii air hangat coba cium gmna rasanya? Itu mencrettttt. Dungu betul. Kl Lo bukan bagian dari Islam mempertanyakan apalagi nyinyir........biadab lo,Negatif
Iblis tukang fitnah zionis laknatullah.. Lebih hina dari hewan melata... Sedang melakukan fitnah menghina Rasulullah SAW menghina Islam.. dgn menggunakan potongan sebuah film... Biadab !! Hai @Salwan_Momika1 shame on you Bantu RAS akun dajjal ini ya ,Positif
Di sisi lain dia mau nerapin syariat islam susah ini kita nelennya. Dia bisa jadi lebih biadab kalo dikasih kekuasaan. Jadi mayanlah buat hiburan aja.,Negatif
@bnsphrxyzzz Wah perlakuan yg sangat biadab. Contohlah diIndonesia. Kafir2 pemakan babi tiap hr mencela dan menghina Islam tp Muslim disini gakkan membakar kafir2 tsbt. Sayangnya kafir2 minoritas di Indonesia gak tahu diri dan gak bermoral. Selalu aja merasa dizholimi.,Positif
@HermansyahRoki @stan_loppies @Tita83079013 ... terbukti dong apa kata jeng TITA justru yg DESTROYER ISLAM adalah ORG ISLAM sndr yg bajingan bangsat dajjal primitif barbar biadab bringas brutal krn mmg FAKTA mental manusiany 11 12 sm ORG MINANG PEMABOK ARAB PEMABOK PALESTINA PEMABOK AGM CANDU RACUN TERORIS DUNIA,Negatif
@Komjen_Langit @incognito_grey @hodajannat Sumber alam di keruk negara KAPIR BIADAB tapi kenapa KAPIR teriaknya yg biadab umat Islam ya. Ya karena KAPIR UMAT BIADAB PLAYING VICTIM ilmunya KAPIR,Negatif
@nahim_11 kau la smpai hari ni tk fham ii sbb hati kau dh hitam dgn ajaran sesat kau tu. kau bodoh tk fham ada bnyak sbb kenapa mufti dgn lembaga zakat ckap perbuatan tu biadab. bab psal org tkut darah tu hanyalah salah satu nye. bebal nya kau ni. islam ke tk ni? lmao,Negatif
@Korokoro_bunta @anonjawa @YogiDirgan30218 ajaran sekte lu aja kali malah elu yg bawa-bawa agama islam luar jatim jateng gaada noh yg nyembah &amp; mengkultuskan gus gus ini. kek gaada harga diri aja jadi penjilat &amp; kacung gus gus biadab.,Negatif
Jendral.musuh Islam!! Kelakuannya biadab!!!,Negatif
@nahim_11 mufti dgn lembaga zakat ni org berilmu mat. bukan org munafik mcm kau. bila dornag ckap perbuatan tu dikira biadab maksudnya ada la sbb sbb tertentu. bukan sekadar nk hormat org yg tkleh tngok darah. bnyak lgi sbbnya. kau ni mcm org tkde agama dh aku tngok. kau islam ke?,Negatif
@C4k_D3pp Ya Allah SWT aku berlindung kepada Engkau dari perilaku biadab iblis syaitan Dajjal laknatulloh yang mau mengadu domba umat Islam dan kaum muslimin serta tokoh tokoh muslim di manapun dan sampai kapanpun .. hancurkan mereka hingga berkeping-keping Amin ya rabbal alamin,Positif
@detikseram Islam tk ajar kita bersikap biadab dgn org lain. Sdgkn isteri rasulullah masak n suruh komen masakan dia rasulullah tk cakap pape pun walaupun tak sedap dia suruh isteri dia sendiri rasa betapa dia jaga kata2 dia dari menyakiti hati isteri dia. Papepun anon padanmuka mak u lah,Positif
@CeddyOrNot Klu betul perbuatan David Foster tu biadab maka baguslah tindakan Siti yg sentiasa senyum..itulah nilai akhlak dalam Islam..tpi klu pikir kan blik bt apa DF bagi mic lama2 kat Siti? Sedangkan time tu tgh PC kot..ko expect nak bagi sampai sejam ke?,Positif
@Tita83079013 Lo bukan bagian dari Islam sangat biadab jika komentar Udah gt ngga punya pengetahuan terkait halal haram'. Bau bangkai.... https://t.co/7TqTuj7qpq,Negatif
@Hhidajat694870 @BaRCa16071994 @Narasi_winda Warga Gaza seharusnya bersyukur bukannya malah membela hamas Syiah biadab .. tunggu saja kabar kepunahan Hamas Syiah sesat... Syiah bukan Islam.. pendukung Hamas SDH bisa dipastikan mereka buta dengan firman Allah. QR. Ar Rad 11.,Positif
Bodoh gila zionist ni kau dah la datang Indonesia negara yang paling ramai orang Islam. Pastu kau biadab. Penganjur Indonesia yang panggil dia ni tak bijak. Sama lah dengan siapa yang hadir dalam concert tu.,Negatif
@incognito_grey @IkhwanMetal @zer0failed KAPIR BIADAB pura2 gk tahu klu di gereja juga diajarin membenci Islam.,Negatif
@Titipan_Mafia Emang Le Minerale diboikot? sumpah demi Allah gw jijik banget anjing sama zionis2 kontol pembenci Islam dan Palestina mati miskin penyakitan masuk Jahannam kek lu semua biadab,Negatif
@incognito_grey @kadrunmampos PKI atheis mrk gak memprdulikan umat brgama aplgi mrk tdk brtuhan baca sejrah PKI Madiun thn 1948 lalu mrk undang santri dn ulama utk makan semua diracun begitukah biadab PKI dulu sd skrg mrk ga suka agama PKI jls anti islam brhati busuk ada jg selain PKI cuma brfikir dogma2 saja,Negatif
@_asyahhhh biadab sungguh... nama je penyokong parti islam tp akhlak ke laut,Negatif
@talangijoo @blumewatch TAI IJO jika Lo bukan bagian dari Islam biadab mengomentari karena Lo tidak paham yg Lo sampaikan.,Negatif
@Missmeow7777 dengan lebai2 PAS ni tak payah cakap elok2.. hormat sebagai manusia bole hormat sebagai orang tua bole.. but nak respect kau as ustaz? yilekkk kau tunggang agama islam.. itu melampau dan biadab!! tp kan walaun sanjung dia sebab kena petir takde apa2 hahaha.. gila betul,Negatif
SELEMBAR JILBAB JADI SENJATA ALASAN MENEROR DAN MEMAKSA DGN KEKERASAN ATAS NAMA AGAMA. ITU KONYOL DAN BIADAB. JANGAN SAMPAI ITU BERLAKU DGN PAKSAAN SEPERTI DI SEKOLAH NEGARA YG WAJIB JILBAB. PADAHAL INDONESIA BUKAN NEGARA ISLAM.,Negatif
@AntonChniago @talangijoo Tabiat biadab org islam sllu kait2 kan agama Kristen demi mbnrkn agamanya. org2 islam klu sholat kiblatnya ke kaabah jls di kmr2 hotel pun sdh ditandai arah solat di kapal laut ktika wktu solat akn diumumkn kiblat ke arah mn. Kristen ktika ibadah tdk ada kiblat2 ke yerusalem.,Positif
@Tita83079013 Manusia dgn narasi2 biadab seperti ente memang harus di lawan isinya cuma sampah fitnah lompat pagar adu domba umat ..nggak ada tempat buat Penghamba2 Iblish dan Syetan utk selalu hina2 ajaran Islam...,Positif
@_yantooo Lihat pendukung zionis yg makmur drpada pendukung islam biadab wkwkw lbh baik mendukung israel membasmi teroris drpada mendukung palestina sarang teroris,Negatif
@_yantooo Harusnya omongan lu berlaku utk islam yg selalu serang agama lain kalau agama lain menyerang islam hny sebatas tulisan alias debat nah islam dr menghina agama lain dgn terang2 pake muallaf2 dungu membacok org lg berdoa Kalian lbh biadab dr israel,Negatif
@talangijoo TAI IJO Jk bukan bagian dari Islam Lo komentar ritual dalam Islam berarti biadab. Hak dan kewenangan berkomentar juga nggak punya. Dari mana pengetahuan tentang Ka'bah lempar jumroh tawaf dll? AH TAI IJO Meras orang in TELEK padahal isinya setara TELEK nya sendiri,Negatif
@jacobson19_ Yahudi pesek sebenarnya TDK perduli perang Gaza dan Israel biadab mereka cm meluapkan rasa benci terhadap Islam aja dengan mendukung zionis biadab,Negatif
Â° | Biadab Majidreza Rahnavard 23 thn dibunuh oleh rezim Islam di Iran pada 16 Juni 2022 Dia memiliki tato bendera Singa &amp; Matahari di lengannya. Mereka membakarnya &amp; mematahkan lengannya sebelum membunuhnya. Ini merupakan eksekusi publik pertama setelah Mahsa Amini Sc,Negatif
