processed_text,kelas
hp jago kalo ngoyak ngoyak islam sengaja adu domba ngacak ngacak islam biarkan lindungi yg coba meluruskan capkan radik anti pancasila pilkada dki gosip nya ani dimajuin isu yaman angkat biar kaesang mulu gangguan,Negatif
umat islam india ganti sapinya pakai kerbau diamuk hindu penyembah sapi radik,Negatif
kalo brani jujur kaum radik adl wajah islam yg sebenar nya tp malu mengakui wajah seburuk diem gak brani ngelawan,Negatif
becaus you think feminist is against islam org radik or konservatif ngecap feminist alay menentang agamalah dll termakan omongan jelek org ttg feminist,Negatif
baguslah dunia damai aman biang kekacauan dunia orma islam radik,Negatif
org yg tdk wara nu sdh lari konsep agamaan orma terdepan agama islam skrg orma biadab tdk tau mengecam nya,Positif
pranci rasi penduduknya beragama islam atlet perempuan yg olimpiad dilarang pake hijab stress banget negara,Negatif
pengen ma jawa aga gmn ya cowo korea aja deh yg pekerja kera ga rasi islam lemah lembut uhuy,Negatif
lo islam g bikin fitnah biadab,Negatif
fear monger kntolskrg krn udh meredup aka kegiatannya radik islam krn dibubarin aja fpi hto jd keliatan lbh adem ayem,Negatif
respect hindu bali hindu india hmm gimana ya konten islam instagram komen rasi penjilat zioni dah skip umat hindu india udah dirasuki islamophobia bgt umat hindu bali yg respect,Negatif
mede anak bpk owi dongpresiden period tumpa paham radik terori anak abah byk susupi terori samp umat islam aje mayat nya ancam klo ga pilih abah,Negatif
negara lu rasi gila sm org islam dicengin berasa yg tersak,Negatif
orang itb kalo gak radik islam ya gini,Negatif
zionism ideolog org yahudi tujuan tercapai islam radik gerakan aksi anarki yg lakukan muslimin dgn embel agamadan aksi berpondasi yg menebar terror,Negatif
goblok islam radik ent fanatik buta pake teknolog orang kafir chuaksss,Negatif
islam tu hina islam haiwan belaan kafir masuk je politik nk tegakkan islam tu aleh aleh menangkan hak kafir ad bau syurga mampu nti,Negatif
bicara perempuan sungguh memalukan ideolog radik islam bikin muslim wara,Negatif
dewan syariah unsur islam radik,Negatif
kalo jujur aja islam radik rezim yg pelihara fear monger ala indo disuriahkan issu perisakan minorita diperlihara,Negatif
suka islamofasi islam puritan islam revivali islam radik islami apapun kau menyebutnya tangan menghantam jokowi whi not perkara hantam islamofasi ujung jalan,Negatif
cahaya islam padamkan allah swt menjaganya frame terori radik tetep berbondong bondong masuk islam frame ribuan lihatlah islam bercahaya mohon sabar ya,Positif
manggil orang india vrindavan rasi jua btw karna vrindavan kota suci hindu india kayak mekkah nya islam,Negatif
gak rass ya jelekin agama islam sakit jiwa kau,Negatif
ulama afganistan serukan umat islam hr bersikap kera amp kejam thdp nonmuslim muslim yg suam kuku lemah yg tdk membunuh orang kafir muslim agama buruk sblm beragama tinggalkan agama biadab tsb,Positif
lu slalu bilang islam radik lu paham njink,Negatif
cina kafir yg rela jd pkhianat amp rusakn orang islam,Negatif
ideolog politik khilafah islam bikin muslim radik serakah negara orang direbut nama islam muhammad memerintahkan muslim melenyapkan yahudi rumah gaza memiliki gambar yerusalem hama zioni halusinasi yahudi zioni real,Negatif
islam sedunia merayakan okt warga terori gaza berhasil siksa bakar hidup perkosa culik penggal bantai warga israel bayi ampanak perempuan orang muda orang tua sadi biadab bela kasihan,Negatif
wkwkwkwkwkwk wkwkwkwkwkwk wkwkwkwkwkwk wkwkwkwkwkwk wkwkwkwkwkwk wkwkwkwkwkwk gelar haji cuman pemberian penjajah mengotakkan umat islam radik dgn umat islam abangan,Negatif
have you heard of islam ktp pengajian yg dibubarin banser n etc kalo islam cap radik org islam how funni is that mayorita berasa minorita,Negatif
yg kayak gini yg dihajar,Negatif
gu dur mengkritisi keberadaan muimemang gak gunanya bikin gaduh bikin malu islam berisi orang yg terpapar radik,Negatif
indonesia bangsa negara yg sempurna perilaku rasi ditemukan wni pemilik kulit cokelat penganut agama islam korban wni kolom komentar yg adl korban berusaha tameng pelaku,Negatif
negara rasi dikepung negara islam,Negatif
islam muluk yg bahan pencitraan abi kampany teriak radikalintoleran,Negatif
yg sdh terpapar islam radik tnipolri salah satunya tnipolri yg gabung si bahar yaman,Negatif
gue pelajari org nya spt dr yutub org indo yg islam disana y aslinya kalo liat org berhijab ya btl rasi tp wajar aja rasi agama aja gk rafah kmrn krg mengerti tp bs,Negatif
melayu tu islam dap tu kafir singkat akal islam tiada bangsa keturunan islam selagi mengucap kalimah syahadah,Positif
mah berhubungan islam mayorita nusantara homo sapien belahan bumi rasi gw aja mayorita indonesia bilang kalo kenc cebok ngga cuci tangan fyi lau kenc kecium baunya aja bikin dosa hisabnya berat,Negatif
bermodalkan jihad islam kafir mengkafirkan,Negatif
yg diucapin selamat pemeluk agama kepedean umat islam tdk ngemi diucapin selamat tdk ngamuk tdk marah marah menganggap radik intoleran agama yg tdk selamat,Positif
ya ngapain dagestan dikatain penghianat perang chechnya dagestan gak terlibat perang chechnya dagestan terlibat militan chechnya menginvasi org dagestan membela serangan islam radik,Negatif
astagfirullah islam radik dilebur dijadiin pakan lele,Negatif
yg tweet cakap komen cina rasi tu orang firdau cakap komen wargamaya cina medso isu rasi lagipun gambar tu sumber wanita cina islam tiktok mostli translat je komen viewer fikirlah,Negatif
yg uclim bantai tuduhan sbg pki orang pribumi non islam otaknya pemimpin pki muslim yg taat biadab bgt uclim taliban pesek,Negatif
adabnya hukumnya islam muslim biadab islam agama damai baca,Negatif
rakyat indonesiatidak larangan malaikatnabituhan muuntuk salam or selamat apapun umat agama fatwa rasi mui berlaku utk orang islam fanatik n penuh intoleransi,Negatif
lambang tauhid bakar bilang radik sok islam giliran lambang orma nganu edit marah marah heleeeh kintil,Negatif
ciiee kafir teriak kafir orang kafir gk ngatain orang anj ya agama yg loe agung teriakin orang kafir binatang ajaran orang islam pesantren cm kedok sok suci bejat melebihi orang kafir,Negatif
ny negara islam bersatu menyerang israel terorist biadab,Positif
radik islam,Negatif
terorisnya revisi ga krn konflik kristen vs kristen si tolerir islam yg cocok dianggap terori klo kristen ya radik eh aja radik radikul islam yg kena kalo kristen,Negatif
kenyataan rasmi berhubung tindakan fasi rasi subversif ekstremi menafikan hak umat islam tuhan ketua pengarah dbp hilang berbeka hilang rimbanya bukti,Negatif
isi endasmu orang islam melawan bilang radik terorisnorak,Negatif
idih orang kafir masuk rusuh ngasih bensin yg terpuruk iman kafir yg stabil yg umat islam dianggapnya mengganggu dsr kafir gak malu,Negatif
ummat islam radik,Negatif
klau d negeri gw bingung jg knp org rasi sm wanita berhijab pdhl aj biarawati jg pakaiannya gk beda sm wanita muslim agama gw jg agama turunan dr agama yg kitabnya zabur taurat injil klau ad islam yg jelekin agama baca alquran,Negatif
paham peperangan rohani terhipnoti islam radik berteriakteriak memanggil sembahan yg bernama pribadi allah orang kristen yg imannya suamsuam kuku mala baca the bibl peperangan rohani,Negatif
islam radik bln yahudi tdk makan babi yahudi pake kerudung yesu islam tolol ajaran yahudi islam rayakan paskah rayakan pondok daun ibdh d sinagogo blok,Negatif
bahaya orma agama yg menjual agama utk kepentingan politik penguasa dzalim menjauhkan umat islam yg kaffah teriak radik radikul persekusi salafi wahabi utk ngelola harta negara pdhl gak kompetensi naudzubillah,Negatif
boy hidup hr pake akal nurani agamanya gak salah yg salah oknum radik amp terori boy kau msh hidup enak dinegara bs sekolah makan enakkan kepalamu mudah dicukur dmnpun boy negara yg mayorita islam aman,Positif
loh belajar bahasa arab gak wajib orang kafir gak paham mend gak campur malu emangnya ciptaanmu yg bikin dunia terpukau tuh udah gak jasa nyinyir orang islam,Positif
sikap dbp gerakan fasi rasi subversif menafikan hak umat islam tuhan berhujah lari malu menghambat baca siapapunyatuhan,Negatif
layak bubar indon dukung papua merdeka dahhh anj islam radik layak hancurkan,Negatif
mahluk biadab laknatullah layak memakai atribut ulama apapun islam,Negatif
amp straight aja kekuatan iman gua amanaman aja alasan rusak nya iman gua tuhan agama karna menormalisasi golongan lgbt islam radik judgment,Negatif
org kayak gt gabisa diajak diskusi kepanasan kalo org islamophobia rasi org non islam aneh org kek gt,Negatif
menurutmu penganut islam tdk yg biadab,Positif
islam muhammad quran sharia law islam jihad isi isisk taliban hama plo isi boko haram jem lashkar e taiba pfi sdpi simi jmb huji the muslim brotherhood irgc houthi hezbollah crime against human,Negatif
sy pro tinggalkan islamsyariah mengedapankan human spritial person aja privat agama bangsa terpecah yg radik jd tinggalkan,Negatif
giat opsu intelijen partisan militan radik ekstrem kiri neo pki sepili radik ekstremi menciptakan sikon gaduh ricuh konflik horizont adu domba memecah belah umat islam nkri menjelang peralihan kekuasaan jokowi sontoloyo wowo gemoy,Negatif
berpikirlah positif berjiwa merendahkan orang manusia rasi lu islam mengajarkan kasih sayang paham,Positif
orang kafir aja perbaiki lu umat islam bangk,Negatif
sebelah kiri sih bibit bibit hti perusak negara dalih agama islam mengajarkan radik kalo kanan kodrat nya orang tholol ya gk heran,Negatif
lu yg play victim ambon th orang islam lg lebaran bantai poso jg persi kaya d palestina emang orang islam radik kaya gtu,Negatif
postingan memenuhi unsur rasi penghinaan agama islam media gambar unggah mengelak mempempertanggung jawabkan postingan unggah,Negatif
orma sampah masyarakat dlawan diam kebiasaan islam radik merajalela nkri,Negatif
imigran biadab slalu bikin onar umat islam identik dgn kekerasan terorism manusia biadab,Negatif
penjagaan gereja menghapu stigma islam agama kekerasan agama terori radik boom gereja teriakan takbir ajaran islam indonesia islam indonesia menyerukan perang anak bangsa,Positif
lg bersih nama carani bikin narasi cinta perdamaian amp pejuang islam sejati patut diduga antek penjajah israel kerja bareng israel cari pendakwah yg disertifikasi sisanya ulama yg gk disertifikasi tuduh mrk dgn tuduhan ulama terori amp radik,Negatif
tebal kulit muka dbp badan fasi rasi subversif menafikan hak umat islam tuhan berpurapura mahu bahasa kebangsaan diterima kaum agama rujuk siapapunyatuhan,Negatif
ributkan penipu biadab male yg ditipu manusia yg agungkan umat islam sedunia dgn mengaku ngaku cucunya,Positif
oiya deng lupa bapaklu komuni kebawa anaknya pura islami biar orang murtad ngiranya islam radik,Negatif
lo belajar islam forum faith freedom pamela geller and co fitnah distorsi agama nabi sejarah yg bikin orang manjadi radik hate speech islam islam melindungi yahuri spanish inquisit kadrun,Positif
malumaluin bro agama pacifism seakan radik garagara brand koarkoar sosm samasama islam aja kafirkafiran malu keyakinan cabang keyakinan olokmengolok,Negatif
islamradikalterori,Negatif
gua penasaran lu bersikap kek gitu lingkungan kah lu kek gitu orang orma radik kah lu benci islam dicari tau landasan lu kesel islam,Negatif
islam moderat tugasnya provok islam radik tugasnya eksekutor setali uang bingung,Negatif
bener bgt gak orang islam boikot produk ditambah memajukan ummat manusia kyk org china gak senang barang china suka barang jepang gak rasi dah manusia,Negatif
lumayan bahan adu domba umat syngnya org lbh prcya hb drpd lu beraninya sosm umat islam indonesia lg adu domba org munafik yg dpt byran radik radikul islam nusantara salam linta agama skrg mrk berusaha jauhkan umat dr habaib,Negatif
tipe imigran gelap muslim masuk eropa tertinda negara sariah islam dikirim jihadi negara sariah islam jihadi menjadikan negara kafir medan perang kelompok bersatu,Negatif
simplifikasi istilah aja islam abangan ktp kejawen kesamaan non syariah perbedaan islam radik moderat syariah,Negatif
ingatkan nak boikot kemanusiaan nak suruh support islam je dasar rasi,Negatif
munafik kau,Negatif
rasi ideolog zionist mossad perangai fikiran ko zioni rasi agama islam indah zioni,Negatif
mirisnya kak yg ngatain islam like ngapain sih ngatain org rasi bgt dr yg katain kah,Negatif
sengaja meninggalkan solat mempersendekan solat jatuh murtad kafir kau kau dah jatuh kafir cakap pasal islam cuba cakap pasal agama pulak,Negatif
truussdinegara pejabat mayorita islamapa salam utk rakyat islam doank rasisrasisrasi,Negatif
kaya gitu sebutannya radfem emang ekstrimi kayak islam aja yg radik ekstrimi tp lu langsung generalisasiin muslim ekstrimi kagak,Negatif
ungkapkan teman tongkrongan orang islam cenderung rasi diajarkan klw katolik yg namanya sekolah minggu anak ajarkan cinta diajarkan yg bersifat kebencian perbedaan,Negatif
ajaran ideolog politik fasi islam khilafah bertentangan pancasila islam seragam pancasila beragam muslim radik berjiwa terori menolak pancasila ane kafir mendukung pancasila nkri,Negatif
hidup kau habiskan pendongeng yah kau yg koment anak kau ajak ngomong yahagama kau penjajah klo islam ajaran rasi kau nenek moyang kau tdk tinggal indonesia,Negatif
kritik dedahkan rasi islamofob sesetengah sarawakian ni la menghasut diorang ni benci islam melayu melayudayak kalimantan dasarnya elok je,Negatif
islam yg islamphob islam banyaknya yg ngatain non muslim kafir banyaknya umat muslim yg benci non muslim islam umatnya ganggu non muslim beribadah,Negatif
indonesia kacau balau teror teroran gereja meraja lela awa berbahaya udah terpapar viru islam radik,Negatif
yg serang muslim munafik yg sok toleransi dgn zipe laknat pembela israel muslim munafik yg sok tolerin dgn zipe laknat liat kalimat biadab zipe laknat yg menghujat islam dgn kebencian yg mendalamsadarlah hai munafik,Negatif
bangsat pembenc islam provok rasi ambil sepotong baca lengkap dr media yg potong judulnya dasar bangsat biadab,Negatif
yaelaaahhh lont berjilbab widia tolol ya gak nyambung temen biadab elu bilang islam ktp yg homo mardani ali sera islam ktp ya rajin sholat puasa gak bolong dibilang islam ktp elu lont berjilbab widia komen goblok,Negatif
pake agm islam keringat saw ngangkat derajat mmg sprt orrientali blanda snouck hergronj perempuan islam duuh agm rasi disjkriminatif gender sd abad betool sex si izansimn,Negatif
islam nusantara alat menuduh kelompok ga sepaham dituduh radik extrim,Negatif
ril banget kerja perusahaan korea gitu pejabat tingginya orang korea persi bgt simpenan dimanamana suka celap celup kasar rasi gak suka org islam samp sholat aja tuh diburu disinisin pake kerudung ga yg syari,Negatif
hi kau babi kau muslim fitnah islam manuasia radik mu cocok nkri negara rasi mamarika israhel,Negatif
menghina agama islam tangkapan layar viral anggota forum mengeluarkan pernyataanpernyataan kasar rasi sourc fttall,Negatif
islam radik ganyang jakarta waspadalahh pribumi,Negatif
islam radik terori,Negatif
berkembang kedepannya benturan tdk terelakkan nilai liber yg nilai religiusketuhanan nyaman umat islam sdh byk fitnah umat islam yg dilancarkan kaum liber radik intoleran,Positif
kelihatanya rekreasi islam sebata tempurung kelapa habi situ coba lihat eropa kejahatan persekusi radik tdk dengar yg membantai umat islam yg sholat jumat eropa umat islam,Negatif
ktahuan bodohnya membela kaum sesat radik terori sbaiknya ga komen tdk tau amp tdk paham yg sdh sya tuli cerda amp berfikir luaslah sya tdk menyalahkan umat kristen yg sya maksud kelompokkaum islam kafir sesat wahabi salafi khilafah radik,Negatif
gaya bahasanya islam radik pemuja hamass,Negatif
anti islam dikagumi sirkel rasi kkk btw,Negatif
org islam klo kirim doa org meningg yg islam mah ga dianjurin nabi ibrahim aja gaboleh doain bapaknya karna bapaknya kafir menurutku klo ngedoain mah tau agamanya,Positif
pembenc islam ngga narasi intoleran radik anti pancasilaanti nkri dllkelakuan busuk luuuh basii cilislam loyal negara indonesiadari smpe detik,Negatif
negar yg musnahkan islam radik pakistan bangladesh irak iran yaman lebanon mayorita kristen habi habiskan pendatang palestina tinggal yahudi yg tersisa yg sali akar israel,Negatif
islam moderat rawan radik akibat kesalahan ulama,Negatif
kalo yg sebelah emang terkesan gak peduli kebanyakan rasi islam ya gitu negaranya aja yg athei,Negatif
wkwkwk temen gw ibadah gereja gw aja gapernah gw ngomong gw tau niat cuman toleransi gw masjid jg aja islam radik sih biasani yg komen ga bs liat org toleransi toleransi langsung yu bs yu ashadu,Negatif
ga gajadi islam radik,Positif
islam tp rasi,Negatif
mari doakan penyampaian kera islam radik penganut ideolog islam radik peranc marin le pen calon kuat presiden peranc panther panthauteru,Negatif
totlol banget ni orang aktif aja aparat kerjanya orma islam dianggap radik hapuskan gak hapuskan wkwkwk lawak,Negatif
terbongkar fakta admin indosarang pekerja korea sayangkan aksi rasi lecehkan agama islam terancam ditutup,Negatif
asli islam radik,Negatif
lhohhh piy tow muslim ajarkan mengolokolok bangsa yahudi melaknat bangsa yahudi memeranggi bangsa yahudibukan damai islam yahudi amp kristen khama beridiolog radik islam gari kera melenyapkan yahudi,Negatif
islam radik yg hindu udah punah bro indonesia sih penganutnya samp sekaranh loh,Negatif
yg dsebut dng islam moderat islam radik muncul yg menetralisir oknum mrk yg cari member u djadikan islam mualaf ingkar intimidasiteror sasarannya perempuan dhamili anak jd sandera siklusnya,Negatif
ribut mulu mslh dna yg kepanasan sm habaib indonesia cecunguk nya si imad berkeliaran krn dpt orderan dr umat islam indonesia cinta habaib br skrg umat islam indo obok dr toa masjid salam linta agama radik radikul islam nusantara,Negatif
kerja manusia munafik penjilat yg tunjukkan pembelaannya rezim biadab umat islam mmg haram menyebut salam agama,Positif
bener banget dah orang bilang islam yg rasi kalo orang main lingkungan noni yg rasi sadar kalo yg noni aja,Negatif
abi liat potongan podcast tiktok orang bela palestina ratarata orang islam emang rasi anti semit peduli kemanusiaan diterangkan orangorang memerhatikan isu,Negatif
beda islam kristen kristen mengampuni yg menyak islam membunuh yg menyak ga heran terori menikah dg anak kalo skrg kela sd sgt biadab apapun alasannya lihat anak kela sd,Negatif
byk yg benci islam krn kelakuan biadab umatnya,Negatif
yg terheran islam radik indonesia menyuruh simpati islam palestina meninda yg minorita bumi indonesia otaklu gak salah drun,Negatif
viralvideo indosarang isinya komunita rasi menceritakan keburukan orang indosia ulasan diluar nurul islam hujat hei you are racisim in indonesia tell them all your stupid and idiot citizen ya,Negatif
miri bangat ya gak kayak gitu rasi bangat anj jam pagi udah bunyi tu masjit pake toa b aja solata rumah b aja agama islam kah ajaran nya gitu aneh,Negatif
emang rasi sihh orang indo yg agama islam,Negatif
islam moderat sanggup melawan islam radik cenderung radik,Negatif
tod ngentod kaum lo nyenggol nyenggol islambuta lu tod rasi ae bacod agama sitok iki,Negatif
kelakuan manusia biadab melecehkan islam budaya minang kelakuan mengundang bencana ranah minang,Positif
radik bunuh teman non islam kawan definisi radik bertingkah bersih terori yg mengaku agamamu kejam radik terori mengaku agamaku,Negatif
sbg muslim tnp in sy tdk kejadian sperti it mski org yg beragama islam ad jg yg biadab tp org yg sdh samp pd tahap berani jihad tdk mgkin serendah it,Positif
dilayani kafir mencoba menjajah indonesia ummat islam terprovokasi dgn otak radik yg intoleran,Negatif
kadrun islam radik aaaahhhhhh bunuh kafir religion of piss camel,Negatif
udah gitu ngatain islam radikalintoleran pelaku intoleran minorita ngelunjak kayak gini g konoha negeri mayorita islam tp hobi menghina orang islam,Negatif
iya ngelakuin aksi terpapar radik menyamakan mayorita islam cinta damai coba bayangkan mayorita cinta damai tersulut narasi ga dibayangkan,Negatif
perizinan terorganisir pelaksanaan ibadah umat kristen pemerintah kejahatan sistematik diberanta sekitaran islam berpaham radik,Negatif
nubuat dimana orang tunduk kekuasaan islam orang beragama islam isa membunuh dajjal muncul ideolog kekhilafahan penjajahan nama agama jatohnya muncul ideolog radik ga move on,Negatif
india negara rasi islam phobia,Negatif
lawan politik lawan agama islam didoakan kehancuran pelik sesetengah komen penyokong yg mudah melabel pemimpin penyokong kerajaan yg muslim musuh islam pendokong kafir sebgainya ghuluw,Negatif
momen gaza momen terbesar menghancurkan militan radik islam ditimur,Negatif
islam bersih kelakuan biadab gambar tutup besi lu bikin narasi yg dinamakan dajjal si perusak yg percaya cerita lu pengikut dajjal,Negatif
korea kalah ama negara islam ngataiin terori emang korea ni negara rasi orgil,Negatif
ya allah swt berlindung engkau perilaku biadab ibli syaitan dajjal laknatulloh mengadu domba umat islam kaum muslimin tokoh tokoh muslim manapun hancurkan berkepingkep amin ya rabbal alamin,Positif
ganti bajuhmm minuman kaleng pepsi sprite coca cola dll ganti baju pakai bajunya merk tulisan arab perusahan minuman ummat islam yg namany kafir alkitab aje rubah cuman minuman kalengdoang,Negatif
setuju dg syarat dg statementmu islamism buruk kalimat tersirat islamism sisi buruk rahasia radik islam senjata manfaatkan demokrasi utk agenda syariah yg ancaman demokrasi,Negatif
forum orang korea indosarang kerja indonesia diduga bersikap rasi viral hina fisik agama islam adel asian valu muhammadiyah tubruk total politik jordi pandji geek lili idul adha malam minggu malm viral trend malam viralvideo,Negatif
rasi lu mah bkn femini belajar agama islam jg kaga berasa tau tll,Negatif
nemu rasi ig orang korsel orang indonesia menghina islam,Negatif
mjb kak kalo islam orang yg biadab bgt tingkahnya emg dibiarin hidup samp kiamat biar lihat ngerasain lgsg seremnya kiamat yg denger dr,Positif
kemarin peranc enzo gercrep banget rasi skarang islam meleyot peranc problematik,Negatif
zioni pesek ngelawak tolol nih tipe tipe yg suka generalisasi islam lu liat noh ira irlandia ngebom inggri keterlibatan ase lu ngomong katholik irlandia radik udah dibilang geopolitik gak paham goblok zioni pesek,Negatif
bingit diband umat islam yg dibantai radik hindu,Negatif
iyah cok orang agama sebelah emang ahlaknya rusak islam bilang radik,Negatif
pasumnobersatu extrem radik bjp terang anti islam sanggup membunuh kerana kepercayaan,Negatif
video viral wisman menemukan wajah islam lombok dirawat orang sasak sakit berlibur persi diajarkan tgb pikir wajah muslim lombok salah menilai radik,Negatif
kpd golongan rasi bodoh yg mengaku muslim golongan rasi bodoh ni x konsep sebenar solat berjemaah amp ibadah haji solat berjemaah menunaikan haji membuktikan tiada rasism islam pasai golongan bodoh ni antiislam pakai songkok akai,Negatif
penceramah islam indo ygoderat yg radik sontoloyo,Negatif
islam moderat ga mengatasi radik,Negatif
fakta ryan garcia petinju dipecat wbc rasi menghina islam temposport,Negatif
wooww akun radik intoleran nih min provok penebar teror spt akun chanzyeolk dibiarkan memporak porandakan ummat islam,Negatif
kafir halal darahnya kalo memerangi umat islam lu asik santai lu beba hidup indonesia mayorita islam,Negatif
loh ngomongin kemampuan strategi perang khalid pa memerangi islam kafir dinilai objektif kemampuan strategi perangnya bagu imam ali memimpin pasukan muslim siffin jalan ga dinilai objektif kemampuan strategi perangnya,Positif
duhai kaum babi sadarlah yahudi musuh yg nyata bagimu btapa biadab membunuh yesu membom grezaa mu meludahi saudara mu yg ziarah yerusalem kaum babi bangun dr tidur panjangmu mari islam boikot zioni israhel,Negatif
ajaran islam radik mengharuskan kekerasan propaganda hoax membantah jihad teror bidang huma memol alia taqiyah islam radik ajaran damai,Negatif
yg lakukan mrk sgt biadab tdk berperikemanusiaanhanya butuh manusia yg berakhlak mulia jiwa berperikemanusiaanamppeduli yg paham dg boykotsygnya dirakyatnya beragama islam plg bnyk didunia ttp gerai diata ramai tdk spt negara,Positif
radik islam yok islam var oda arap masali,Negatif
pencucian otak ala islam liber produk israel kafir dirusak aqidahnya tunduk coba liat generasi nu kalangan muda muhamadiyah sdh,Negatif
yahudi yahudi ortodok yg negara israel yg demokrasi yahudi ortodok menuntut negara israel negara agama yudaism mrk antiisrael dgn islam radik yg thogut sanasini jadikan negara khilafah,Negatif
setujuu pdhal palestina ngga islam doang kristen katolik jg disana uda agama lg ranahnya tp kemanusiaan genocid pdhal org israel mah rasi bgt apapun agamamu kalo keturunan israel ya dibabatdisepelein,Negatif
emang le mineral diboikot sumpah allah gw jijik banget anj zioni kontol pembenc islam palestina mati miskin penyakitan masuk jahannam kek lu biadab,Negatif
muslim minorita diserang dibunuh diintimidasi beda muslim mayorita kafir ditoleransi kafir zipe pembenc islam ditoleransi beba menghujat menghina islam dimedso takut bernasib muslim video,Positif
gini aja deh gw kasih analog udah rahasia klo islam bnyak aksi radik mulismin mengakui aksi radik yg mengakui yg menyangk,Negatif
seribu faktapun kau akn ngele bgitu llh klian muslim yg kejam klian yg rasi klian yg persekusi non muslim klian tp sllu triak org bnci islam,Negatif
proyek global didukung digiatkan kacung jongo babu lokal meng komuni meng sepili radik militan ekstremi meng zioni yahudi orma keagamaan islam terstruktur sistemati masif at ani costnyatahasilnyaindonmenunggurontok,Negatif
